,0
epoch_12,0.6994753580246913
epoch_1,0.7163949876543209
epoch_2,0.7157936419753086
epoch_7,0.702751987654321
epoch_10,0.6994230000000001
epoch_15,0.7007285432098767
epoch_14,0.6999685308641976
epoch_17,0.6983924938271605
epoch_3,0.7081907530864198
epoch_19,0.697419938271605
epoch_5,0.706293074074074
epoch_6,0.705592024691358
epoch_4,0.7082436419753088
epoch_0,0.718683111111111
epoch_18,0.6978842839506172
epoch_11,0.7019074320987655
epoch_16,0.6984255308641977
epoch_9,0.698161086419753
epoch_8,0.7006137037037037
epoch_13,0.7018156790123457
