,step_660,epoch_1,epoch_2,step_1045,step_440,epoch_7,step_385,step_825,step_275,step_605,epoch_3,epoch_5,step_935,epoch_6,epoch_4,epoch_0,step_770,step_715,step_550,step_495,step_165,step_220,step_990,step_55,step_110,epoch_9,step_880,step_330,epoch_8
SDSGlovesClassification,0.69285,0.6916,0.69275,0.6937,0.6933,0.6931,0.6931,0.69265,0.69105,0.69315,0.6926,0.6928,0.69255,0.6927,0.6936,0.6886,0.6944,0.69335,0.69245,0.6929,0.6905,0.69175,0.69275,0.6908,0.68905,0.69325,0.69255,0.69275,0.6933
WikipediaIsotopesFissionClassification,0.896429,0.897619,0.896429,0.891667,0.896429,0.891667,0.896429,0.892857,0.895238,0.895238,0.896429,0.894048,0.891667,0.895238,0.895238,0.89881,0.894048,0.895238,0.896429,0.896429,0.897619,0.897619,0.891667,0.90119,0.897619,0.891667,0.892857,0.897619,0.891667
PubChemSynonymPC,0.599314,0.59981,0.59868,0.599359,0.600238,0.598782,0.59692,0.598464,0.599473,0.597967,0.598853,0.598345,0.59995,0.598808,0.598104,0.603331,0.598817,0.599601,0.597939,0.598832,0.602054,0.599912,0.599255,0.589168,0.604112,0.599609,0.599226,0.598921,0.599543
WikipediaCrystallographyAnalyticalClassification,0.947766,0.949828,0.948797,0.946735,0.947766,0.94811,0.948454,0.946392,0.948797,0.947766,0.94811,0.947423,0.946392,0.947079,0.94811,0.949828,0.947079,0.947423,0.947423,0.94811,0.949141,0.949485,0.947423,0.953952,0.949141,0.947766,0.947423,0.947766,0.946735
WikipediaSaltsSemiconductorsClassification,0.857576,0.861616,0.856566,0.858586,0.857576,0.858586,0.857576,0.856566,0.860606,0.857576,0.856566,0.857576,0.857576,0.857576,0.858586,0.862626,0.855556,0.858586,0.857576,0.858586,0.862626,0.860606,0.858586,0.876768,0.863636,0.858586,0.858586,0.857576,0.856566
PubChemSMILESPC,0.126336,0.127738,0.12421,0.125206,0.126204,0.125577,0.126484,0.126155,0.125081,0.127461,0.125732,0.125373,0.1246,0.125806,0.125806,0.123737,0.125621,0.124946,0.126566,0.126348,0.125258,0.126966,0.124652,0.116655,0.121141,0.124906,0.12493,0.124251,0.124939
SDSEyeProtectionClassification,0.66795,0.6639,0.6625,0.6689,0.666,0.66895,0.66675,0.6689,0.6608,0.66665,0.6654,0.66765,0.6694,0.6692,0.66795,0.6624,0.66765,0.66735,0.66725,0.66645,0.6615,0.6619,0.67005,0.6592,0.6617,0.6696,0.66945,0.66175,0.6696
WikipediaOrganicInorganicClassification,0.860456,0.863498,0.859316,0.860456,0.860837,0.860837,0.860837,0.860076,0.860076,0.860076,0.861217,0.860456,0.860837,0.860076,0.860837,0.863498,0.860076,0.860076,0.860837,0.860456,0.865399,0.863118,0.860456,0.86616,0.863878,0.860837,0.860456,0.859696,0.860837
PubChemSMILESBitextMining,0.000762,0.00081,0.000825,0.000751,0.000781,0.000774,0.000805,0.000773,0.000734,0.000715,0.000819,0.000777,0.00075,0.000792,0.00078,0.000984,0.000769,0.000821,0.000791,0.000779,0.001056,0.000813,0.000756,0.000959,0.001003,0.00075,0.000752,0.000798,0.000761
WikipediaSpecialtiesInChemistryClustering,0.264821,0.419737,0.271832,0.191476,0.248208,0.191248,0.251555,0.188988,0.415836,0.20278,0.254573,0.192934,0.206944,0.197634,0.24439,0.430822,0.201454,0.184494,0.190838,0.247593,0.42947,0.418484,0.197822,0.468423,0.430822,0.215733,0.18862,0.241024,0.209256
