,step_660,epoch_1,epoch_2,step_1045,step_440,epoch_7,step_385,step_825,step_275,step_605,epoch_3,epoch_5,step_935,epoch_6,epoch_4,epoch_0,step_770,step_715,step_550,step_495,step_165,step_220,step_990,step_55,step_110,epoch_9,step_880,step_330,epoch_8
ChemHotpotQARetrieval,0.87147,0.8710733333333334,0.85299,0.87007,0.8530566666666667,0.8707333333333334,0.87016,0.87149,0.85507,0.8707166666666667,0.8541,0.8559566666666667,0.8714366666666666,0.87015,0.85519,0.8751366666666667,0.8704533333333333,0.8718933333333333,0.8559566666666667,0.8676466666666667,0.8748333333333334,0.87096,0.87153,0.8871833333333333,0.8754,0.8712466666666667,0.8714033333333333,0.8681233333333334,0.8714366666666666
WikipediaBioMetChemClassification,0.984595,0.986423,0.985814,0.984247,0.985292,0.984334,0.985466,0.984421,0.986075,0.984682,0.985379,0.984682,0.984247,0.984334,0.985205,0.988251,0.984247,0.984595,0.984856,0.985292,0.987467,0.986336,0.98416,0.990252,0.988251,0.98416,0.984421,0.985727,0.984334
WikipediaCryobiologySeparationClassification,0.912876,0.919742,0.916738,0.911588,0.914592,0.913305,0.915021,0.912017,0.916738,0.912446,0.916309,0.912446,0.912017,0.912017,0.913305,0.925322,0.912017,0.912017,0.912876,0.913734,0.919742,0.919313,0.912017,0.929614,0.922318,0.912017,0.912017,0.917597,0.912017
WikipediaChemistryTopicsClassification,0.851069,0.855819,0.853682,0.849644,0.852494,0.849881,0.852257,0.850119,0.854157,0.850119,0.852257,0.850594,0.849644,0.849644,0.851544,0.862708,0.849881,0.850119,0.850356,0.851069,0.85772,0.85677,0.850119,0.874347,0.863183,0.849406,0.849644,0.853207,0.849881
PubChemWikiParagraphsPC,0.186442,0.196751,0.191329,0.185282,0.190068,0.185726,0.189551,0.185308,0.192921,0.187498,0.189271,0.18652,0.18544,0.186278,0.187521,0.209807,0.186664,0.185462,0.186851,0.188267,0.199516,0.196074,0.185409,0.233993,0.208806,0.18531,0.185622,0.191134,0.184982
WikipediaBiolumNeurochemClassification,0.943878,0.94898,0.946939,0.944898,0.943878,0.944898,0.945918,0.943878,0.945918,0.943878,0.944898,0.943878,0.944898,0.943878,0.942857,0.95,0.943878,0.944898,0.942857,0.943878,0.946939,0.946939,0.945918,0.957143,0.947959,0.944898,0.944898,0.946939,0.944898
ChemNQRetrieval,0.55602,0.58067,0.55975,0.57838,0.56543,0.56214,0.53853,0.56181,0.56003,0.55306,0.54692,0.55756,0.56471,0.56344,0.54207,0.57012,0.56438,0.55696,0.54529,0.54207,0.58665,0.56215,0.56214,0.63458,0.57012,0.56471,0.56471,0.54379,0.55729
WikipediaSolidStateColloidalClassification,0.793018,0.798874,0.796396,0.791892,0.793694,0.792117,0.796622,0.791892,0.796396,0.794144,0.793919,0.793468,0.792117,0.791892,0.793468,0.803604,0.792568,0.792793,0.793018,0.792568,0.802027,0.798874,0.792342,0.814414,0.805631,0.792568,0.792342,0.796847,0.791667
PubChemAISentenceParaphrasePC,0.9346,0.928729,0.930677,0.935692,0.932723,0.935431,0.93179,0.934812,0.929745,0.93415,0.932465,0.934554,0.935584,0.934849,0.933533,0.922787,0.934774,0.934587,0.933395,0.933641,0.927538,0.928798,0.935714,0.924021,0.923051,0.935551,0.935623,0.930877,0.935747
WikipediaTheoreticalAppliedClassification,0.62862,0.634584,0.63084,0.627601,0.629512,0.627969,0.629357,0.627738,0.631688,0.62832,0.629606,0.628646,0.627541,0.628063,0.628663,0.642048,0.627781,0.628226,0.628398,0.629606,0.637575,0.633685,0.627429,0.655955,0.641294,0.627386,0.627635,0.630428,0.627669
WikipediaChemFieldsClassification,0.48458,0.492636,0.488163,0.483936,0.486372,0.48396,0.486735,0.483983,0.48883,0.484416,0.486512,0.485505,0.483655,0.484135,0.485704,0.502166,0.483901,0.484276,0.485025,0.48602,0.495867,0.491289,0.484018,0.520197,0.500983,0.483936,0.483948,0.48746,0.484159
WikipediaChemEngSpecialtiesClassification,0.750806,0.759677,0.755645,0.750806,0.754032,0.750806,0.754032,0.751613,0.756452,0.75,0.756452,0.750806,0.751613,0.750806,0.750806,0.764516,0.752419,0.751613,0.750806,0.751613,0.759677,0.752419,0.749194,0.782258,0.76371,0.752419,0.750806,0.754839,0.752419
WikipediaGreenhouseEnantiopureClassification,0.961842,0.967544,0.965789,0.961404,0.964035,0.961404,0.964474,0.961404,0.966667,0.961404,0.963596,0.961842,0.961404,0.961842,0.961842,0.969737,0.961404,0.961842,0.962281,0.963596,0.967982,0.967544,0.961404,0.976316,0.968421,0.960965,0.961404,0.965789,0.961404
PubChemWikiPairClassification,0.796759,0.798696,0.795309,0.793657,0.799501,0.793583,0.795987,0.792962,0.798666,0.794861,0.797624,0.794301,0.795198,0.79323,0.794555,0.8023,0.794259,0.793706,0.792746,0.797264,0.801423,0.798048,0.793692,0.795983,0.801917,0.793626,0.794838,0.795057,0.792673
WikipediaCompChemSpectroscopyClassification,0.762443,0.763348,0.766063,0.761991,0.765158,0.763348,0.765611,0.763801,0.764253,0.762896,0.766063,0.762443,0.764253,0.763348,0.762896,0.766516,0.763801,0.762896,0.761086,0.763801,0.765158,0.762896,0.761991,0.770588,0.768326,0.763348,0.761991,0.764253,0.762443
WikipediaChemistryTopicsClustering,0.618534,0.708626,0.701183,0.65269,0.680749,0.622111,0.666356,0.576791,0.700099,0.639001,0.643643,0.659729,0.665293,0.645922,0.64689,0.780533,0.652002,0.661257,0.652065,0.648643,0.708768,0.711612,0.664128,0.689343,0.726689,0.649994,0.66491,0.700498,0.665293
WikipediaLuminescenceClassification,0.904878,0.913415,0.908537,0.903659,0.907317,0.904878,0.909756,0.903659,0.910976,0.906098,0.908537,0.906098,0.904878,0.903659,0.907317,0.909756,0.903659,0.903659,0.907317,0.906098,0.912195,0.912195,0.904878,0.914634,0.910976,0.903659,0.903659,0.908537,0.904878
