,0
step_345,0.80704
epoch_1,0.80043
epoch_2,0.79343
epoch_7,0.79525
step_575,0.79879
step_1725,0.7951
step_1955,0.79569
step_1840,0.79526
step_1150,0.79448
step_460,0.80056
step_2070,0.79554
epoch_3,0.79257
step_115,0.81405
step_1380,0.79418
epoch_5,0.79395
step_920,0.79287
step_2185,0.79535
step_2300,0.79575
step_1035,0.79512
epoch_6,0.79497
epoch_4,0.79439
epoch_0,0.81156
step_1265,0.79466
step_805,0.79419
step_1610,0.79498
epoch_9,0.79545
step_690,0.79386
step_230,0.81156
step_1495,0.79519
epoch_8,0.79579
