,epoch_1,epoch_2,epoch_7,epoch_3,epoch_5,epoch_6,epoch_4,epoch_0,epoch_9,epoch_8
SDSGlovesClassification,0.5647,0.5647,0.5647,0.5647,0.5647,0.5647,0.5647,0.5647,0.5647,0.5647
WikipediaIsotopesFissionClassification,0.87619,0.87619,0.87619,0.87619,0.87619,0.87619,0.87619,0.87619,0.87619,0.87619
PubChemSynonymPC,0.646093,0.646093,0.646093,0.646093,0.646093,0.646093,0.646093,0.646093,0.646093,0.646093
WikipediaCrystallographyAnalyticalClassification,0.912027,0.912027,0.912027,0.912027,0.912027,0.912027,0.912027,0.912027,0.912027,0.912027
WikipediaSaltsSemiconductorsClassification,0.815152,0.815152,0.815152,0.815152,0.815152,0.815152,0.815152,0.815152,0.815152,0.815152
PubChemSMILESPC,0.117063,0.117063,0.117063,0.117063,0.117063,0.117063,0.117063,0.117063,0.117063,0.117063
SDSEyeProtectionClassification,0.6244,0.6244,0.6244,0.6244,0.6244,0.6244,0.6244,0.6244,0.6244,0.6244
WikipediaOrganicInorganicClassification,0.771863,0.771863,0.771863,0.771863,0.771863,0.771863,0.771863,0.771863,0.771863,0.771863
PubChemSMILESBitextMining,0.000801,0.000801,0.000801,0.000801,0.000801,0.000801,0.000801,0.000801,0.000801,0.000801
WikipediaSpecialtiesInChemistryClustering,0.234492,0.234492,0.234492,0.234492,0.234492,0.234492,0.234492,0.234492,0.234492,0.234492
ChemHotpotQARetrieval,0.53398,0.53398,0.53398,0.53398,0.53398,0.53398,0.53398,0.53398,0.53398,0.53398
WikipediaBioMetChemClassification,0.938642,0.938642,0.938642,0.938642,0.938642,0.938642,0.938642,0.938642,0.938642,0.938642
WikipediaCryobiologySeparationClassification,0.866953,0.866953,0.866953,0.866953,0.866953,0.866953,0.866953,0.866953,0.866953,0.866953
WikipediaChemistryTopicsClassification,0.768884,0.768884,0.768884,0.768884,0.768884,0.768884,0.768884,0.768884,0.768884,0.768884
PubChemWikiParagraphsPC,0.385385,0.385385,0.385385,0.385385,0.385385,0.385385,0.385385,0.385385,0.385385,0.385385
WikipediaBiolumNeurochemClassification,0.940816,0.940816,0.940816,0.940816,0.940816,0.940816,0.940816,0.940816,0.940816,0.940816
ChemNQRetrieval,0.32594,0.32594,0.32594,0.32594,0.32594,0.32594,0.32594,0.32594,0.32594,0.32594
WikipediaSolidStateColloidalClassification,0.73491,0.73491,0.73491,0.73491,0.73491,0.73491,0.73491,0.73491,0.73491,0.73491
PubChemAISentenceParaphrasePC,0.927414,0.927414,0.927414,0.927414,0.927414,0.927414,0.927414,0.927414,0.927414,0.927414
WikipediaTheoreticalAppliedClassification,0.59012,0.59012,0.59012,0.59012,0.59012,0.59012,0.59012,0.59012,0.59012,0.59012
WikipediaChemFieldsClassification,0.367275,0.367275,0.367275,0.367275,0.367275,0.367275,0.367275,0.367275,0.367275,0.367275
WikipediaChemEngSpecialtiesClassification,0.670161,0.670161,0.670161,0.670161,0.670161,0.670161,0.670161,0.670161,0.670161,0.670161
WikipediaGreenhouseEnantiopureClassification,0.928947,0.928947,0.928947,0.928947,0.928947,0.928947,0.928947,0.928947,0.928947,0.928947
PubChemWikiPairClassification,0.951943,0.951943,0.951943,0.951943,0.951943,0.951943,0.951943,0.951943,0.951943,0.951943
WikipediaCompChemSpectroscopyClassification,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181,0.7181
WikipediaChemistryTopicsClustering,0.601467,0.601467,0.601467,0.601467,0.601467,0.601467,0.601467,0.601467,0.601467,0.601467
WikipediaLuminescenceClassification,0.832927,0.832927,0.832927,0.832927,0.832927,0.832927,0.832927,0.832927,0.832927,0.832927
